,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
127,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.69,72,84,19.89,broken clouds
128,Tasiilaq,GL,65.6145,-37.6368,41.16,99,100,3.02,light rain
129,Nome,US,64.5011,-165.4064,51.87,76,75,10.36,broken clouds
130,Lavumisa,SZ,-27.31,31.892,58.46,91,0,4.54,clear sky
131,Port Lincoln,AU,-34.7333,135.8667,53.24,92,83,19.08,broken clouds
132,Calama,CL,-22.4667,-68.9333,64.89,7,0,27.63,clear sky
133,Harper,LR,4.375,-7.7169,74.71,89,17,5.77,few clouds
134,Lahij,YE,13.1667,44.5833,85.33,59,42,8.95,scattered clouds
135,Abilene,US,32.4487,-99.7331,94.17,26,0,13.8,clear sky
136,Kloulklubed,PW,7.0419,134.2556,75.7,74,99,4.9,overcast clouds
137,Hvide Sande,DK,56.0045,8.1294,57.09,73,98,21.5,overcast clouds
138,Burns Lake,CA,54.2331,-125.7533,56.62,50,98,12.3,overcast clouds
139,Provideniya,RU,64.3833,-173.3,48.36,81,100,13.42,overcast clouds
140,Pevek,RU,69.7008,170.3133,43.56,62,8,15.97,clear sky
141,Ilulissat,GL,69.2167,-51.1,39.22,87,75,4.61,broken clouds
142,Chuy,UY,-33.6971,-53.4616,57.67,94,16,6.4,few clouds
143,Kodiak,US,57.79,-152.4072,54.91,82,100,13.8,light rain
144,Senno,RU,59.5336,33.9167,35.26,98,30,4.47,scattered clouds
145,Rosarito,MX,32.3333,-117.0333,98.64,62,8,7.09,clear sky
146,Saskylakh,RU,71.9167,114.0833,36.66,82,98,9.28,overcast clouds
147,Okha,RU,53.5739,142.9478,54.41,70,100,28.59,overcast clouds
148,Iquitos,PE,-3.7481,-73.2472,84.24,79,40,2.3,scattered clouds
149,Bethanien,NA,-26.502,17.1583,65.88,19,0,0.22,clear sky
150,Port Keats,AU,-14.25,129.55,79.12,74,26,3.96,scattered clouds
151,Khatanga,RU,71.9667,102.5,29.3,91,87,8.61,overcast clouds
152,Buraydah,SA,26.326,43.975,86.45,10,0,7.14,clear sky
153,Doljesti,RO,47.0333,26.9833,60.75,80,9,5.26,clear sky
154,Hermanus,ZA,-34.4187,19.2345,50.81,88,12,8.43,few clouds
155,Plettenberg Bay,ZA,-34.0527,23.3716,55.44,59,0,3.6,clear sky
156,Port Macquarie,AU,-31.4333,152.9167,59.9,78,51,7.09,broken clouds
157,Nagato,JP,34.3833,131.2,75.25,72,100,15.9,overcast clouds
158,Carmo Do Rio Claro,BR,-20.9719,-46.1189,69.51,41,20,5.1,few clouds
159,Husavik,IS,66.0449,-17.3389,50.61,87,60,3.58,broken clouds
160,Dombarovskiy,RU,50.7587,59.5386,46.06,58,23,7.56,few clouds
161,La Asuncion,VE,11.0333,-63.8628,83.93,74,51,3.44,broken clouds
