City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
95,Nikolskoye,RU,2022-08-31 16:53:21,59.7035,30.7861,48.09,95,100,10.96
96,New Norfolk,AU,2022-08-31 16:53:22,-42.7826,147.0587,51.3,69,94,1.01
97,Enumclaw,US,2022-08-31 16:53:22,47.2043,-121.9915,77.83,69,73,1.01
98,Hovd,MN,2022-08-31 16:53:22,48.0056,91.6419,60.35,36,55,3.0
99,Buala,SB,2022-08-31 16:53:23,-8.145,159.5921,79.38,84,100,9.28
100,Georgetown,MY,2022-08-31 16:49:13,5.4112,100.3354,84.13,85,20,3.44
101,Tuatapere,NZ,2022-08-31 16:53:23,-46.1333,167.6833,50.54,96,98,0.58
102,Yeppoon,AU,2022-08-31 16:53:23,-23.1333,150.7333,64.18,94,79,7.63
103,Kidal,ML,2022-08-31 16:53:24,18.4411,1.4078,102.31,14,25,6.11
104,Bredasdorp,ZA,2022-08-31 16:53:24,-34.5322,20.0403,57.7,56,0,18.05
105,Vila Velha,BR,2022-08-31 16:52:12,-20.3297,-40.2925,73.35,74,40,10.36
106,Butaritari,KI,2022-08-31 16:53:24,3.0707,172.7902,81.23,79,22,20.38
107,Longyearbyen,SJ,2022-08-31 16:53:25,78.2186,15.6401,40.84,70,75,2.3
108,Inverell,AU,2022-08-31 16:53:25,-29.7833,151.1167,51.15,88,8,1.01
109,Chekhov,RU,2022-08-31 16:53:25,55.1431,37.4711,58.89,70,95,8.52
110,Emerald,AU,2022-08-31 16:53:25,-23.5333,148.1667,61.27,84,35,6.51
111,Nanning,CN,2022-08-31 16:53:26,22.8167,108.3167,84.65,86,99,3.33
112,Talca,CL,2022-08-31 16:53:26,-35.4333,-71.6667,54.54,81,100,2.64
113,Gamba,GA,2022-08-31 16:53:26,-2.65,10.0,76.24,80,84,10.67
114,Kavaratti,IN,2022-08-31 16:53:27,10.5669,72.642,79.74,84,100,18.41
115,Beringovskiy,RU,2022-08-31 16:53:27,63.05,179.3167,45.45,91,100,9.19
116,Erzin,TR,2022-08-31 16:53:27,36.9559,36.2,80.65,63,0,3.56
117,Geraldton,AU,2022-08-31 16:53:28,-28.7667,114.6,46.81,87,0,8.05
118,Bubaque,GW,2022-08-31 16:53:28,11.2833,-15.8333,79.75,80,100,15.14
119,Lata,PT,2022-08-31 16:53:28,40.1629,-8.3327,77.07,46,4,10.98
120,Olafsvik,IS,2022-08-31 16:53:29,64.8945,-23.7142,46.74,87,100,20.4
121,Ucluelet,CA,2022-08-31 16:53:29,48.9329,-125.5528,63.09,84,0,1.01
122,East London,ZA,2022-08-31 16:53:29,-33.0153,27.9116,58.14,62,0,8.05
123,Olot,ES,2022-08-31 16:53:30,42.181,2.4901,75.18,58,78,8.3
124,Kenai,US,2022-08-31 16:48:33,60.5544,-151.2583,53.1,98,100,3.44
125,Playa Del Carmen,MX,2022-08-31 16:50:29,20.6274,-87.0799,85.95,77,78,3.94
126,Narsaq,GL,2022-08-31 16:53:30,60.9167,-46.05,46.58,48,4,1.66
127,Talaya,RU,2022-08-31 16:53:30,61.3833,152.75,44.31,70,12,5.99
128,Cherskiy,RU,2022-08-31 16:53:31,68.75,161.3,37.08,91,98,5.23
129,Inongo,CD,2022-08-31 16:53:31,-1.95,18.2667,73.87,75,64,2.01
130,Sai Buri,TH,2022-08-31 16:53:31,6.7013,101.6168,78.69,85,100,2.93
131,Moerai,PF,2022-08-31 16:53:32,-22.4333,-151.3333,74.35,82,7,13.35
132,Faanui,PF,2022-08-31 16:53:32,-16.4833,-151.75,77.2,75,1,19.77
133,Alofi,NU,2022-08-31 16:51:18,-19.0595,-169.9187,69.69,94,27,1.14
134,Flic En Flac,MU,2022-08-31 16:48:57,-20.2742,57.3631,68.56,73,7,5.7
135,Mahon,ES,2022-08-31 16:53:32,39.8885,4.2658,84.76,61,20,6.91
136,Norman Wells,CA,2022-08-31 16:53:33,65.282,-126.8329,55.44,94,75,4.61
137,Meulaboh,ID,2022-08-31 16:54:33,4.1363,96.1285,76.37,90,100,5.79
138,Guacui,BR,2022-08-31 16:54:33,-20.7756,-41.6794,64.08,56,44,11.05
139,Port Keats,AU,2022-08-31 16:54:34,-14.25,129.55,74.75,81,6,1.99
140,Chuy,UY,2022-08-31 16:54:34,-33.6971,-53.4616,63.36,69,90,7.9
141,Calama,CL,2022-08-31 16:49:44,-22.4667,-68.9333,73.89,6,0,6.91
142,Ponta Do Sol,PT,2022-08-31 16:54:34,32.6667,-17.1,79.72,69,94,7.11
143,Atuona,PF,2022-08-31 16:54:35,-9.8,-139.0333,77.25,67,13,23.51
144,Nyimba,ZM,2022-08-31 16:54:35,-14.5566,30.8149,70.5,55,62,17.72
145,Nordhorn,DE,2022-08-31 16:54:36,52.4333,7.0833,76.28,30,6,11.74
146,Tessalit,ML,2022-08-31 16:54:36,20.1986,1.0114,104.07,8,27,11.86
147,Podgornoye,RU,2022-08-31 16:54:36,51.735,39.1496,71.82,53,0,4.47
148,Lebedinyy,RU,2022-08-31 16:54:37,58.5167,125.5167,34.95,77,2,7.61
149,Iskateley,RU,2022-08-31 16:54:37,67.6803,53.1512,40.24,79,48,7.94
150,Vestmanna,FO,2022-08-31 16:54:37,62.1564,-7.1664,50.92,82,40,13.8
151,Salinopolis,BR,2022-08-31 16:54:37,-0.6136,-47.3561,86.05,66,8,13.98
152,Lamu,KE,2022-08-31 16:54:38,-2.2717,40.902,75.42,78,45,14.61
153,Polyarnyy,RU,2022-08-31 16:54:38,69.1989,33.4478,44.58,64,95,13.38
154,Kokstad,ZA,2022-08-31 16:54:38,-30.5472,29.4241,42.31,66,1,4.16
155,Tongzi,CN,2022-08-31 16:54:39,28.7829,105.0877,68.34,83,100,1.21
156,Victoria,HK,2022-08-31 16:54:39,22.2855,114.1577,86.38,86,23,5.01
157,Champasak,LA,2022-08-31 16:54:39,14.75,106.0,74.34,97,98,0.56
158,Wanning,CN,2022-08-31 16:54:40,18.8003,110.3967,79.43,84,2,2.37
159,Igarka,RU,2022-08-31 16:54:40,67.4667,86.5833,40.66,89,100,8.72
160,Kahului,US,2022-08-31 16:52:57,20.8947,-156.47,79.84,82,0,3.0
161,Vostok,RU,2022-08-31 16:54:40,46.4856,135.8833,50.59,94,0,4.12
162,Kovdor,RU,2022-08-31 16:54:41,67.5662,30.4758,43.43,81,100,6.82
163,Kautokeino,NO,2022-08-31 16:54:41,69.0125,23.0412,41.13,88,100,11.65
