City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
97,Lake Charles,US,86.99,thunderstorm,30.2131,-93.2044,La Quinta Inn & Suites by Wyndham Lake Charles Casino Area
98,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
99,San Quintin,MX,82.83,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
100,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
104,Cayenne,GF,82.44,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
109,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
111,Paciran,ID,77.77,broken clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
113,San Cristobal,VE,82.58,scattered clouds,7.7669,-72.225,Pirineos
114,Faanui,PF,78.73,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
118,Benghazi,LY,78.26,clear sky,32.1167,20.0667,Tibesti Hotel
119,Booue,GA,76.91,overcast clouds,-0.0921,11.9385,Splendeur de l'équateur
123,Abu Dhabi,AE,89.71,clear sky,24.4667,54.3667,Beach Rotana
124,Hilo,US,88.29,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
126,Puerto Gaitan,CO,79.03,broken clouds,4.3133,-72.0816,Brisas del Yucao
136,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
148,Iquitos,PE,84.24,scattered clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
150,Port Keats,AU,79.12,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
152,Buraydah,SA,86.45,clear sky,26.326,43.975,Mövenpick Qassim
157,Nagato,JP,75.25,overcast clouds,34.3833,131.2,いそう庵
161,La Asuncion,VE,83.93,broken clouds,11.0333,-63.8628,Colinas de Matasiete
166,Monrovia,LR,76.03,light rain,6.3005,-10.7969,Sunset Inn
169,Lubao,PH,83.91,overcast clouds,14.9167,120.55,Hacienda Gracia
